# Created by Octave 3.2.2, Fri Jan 08 23:36:30 2010 EST <matthewbot@Matt>
# name: samples
# type: matrix
# rows: 2258
# columns: 2
 0.6961000000000001 -0.14675
 0.6961000000000001 -0.16675
 0.6961000000000001 -0.1715
 0.6961000000000001 -0.16625
 0.6961000000000001 -0.18025
 0.6961000000000001 -0.1515
 0.707805 -0.165
 0.707805 -0.16225
 0.707805 -0.145
 0.707805 -0.15875
 0.707805 -0.1755
 0.707805 -0.156
 0.707805 -0.179
 0.679802 -0.18475
 0.679802 -0.189
 0.679802 -0.19275
 0.679802 -0.19075
 0.679802 -0.188
 0.679802 -0.19025
 0.679802 -0.1775
 0.6870270000000001 -0.21475
 0.6870270000000001 -0.19675
 0.6870270000000001 -0.1815
 0.6870270000000001 -0.188
 0.6870270000000001 -0.183
 0.6870270000000001 -0.18025
 0.6870270000000001 -0.159
 0.700248 -0.1755
 0.700248 -0.15425
 0.700248 -0.17075
 0.700248 -0.166
 0.700248 -0.1695
 0.700248 -0.14
 0.711164 -0.1415
 0.711164 -0.14225
 0.711164 -0.13425
 0.711164 -0.117
 0.711164 -0.09675
 0.711164 -0.09425
 0.711164 -0.08550000000000001
 0.682548 -0.08624999999999999
 0.682548 -0.095
 0.682548 -0.07875
 0.682548 -0.06675
 0.682548 -0.05825
 0.682548 -0.053
 0.682548 -0.05625
 0.682794 -0.05875
 0.682794 -0.04875
 0.682794 -0.0495
 0.682794 -0.044
 0.682794 -0.031
 0.682794 -0.04075
 0.682794 -0.06075
 0.690743 -0.0615
 0.690743 -0.049
 0.690743 -0.047
 0.690743 -0.06625
 0.690743 -0.05825
 0.690743 -0.074
 0.690743 -0.08
 0.681782 -0.09425
 0.681782 -0.095
 0.681782 -0.08875
 0.681782 -0.0955
 0.681782 -0.0895
 0.681782 -0.08275
 0.681782 -0.08
 0.684561 -0.097
 0.684561 -0.063
 0.684561 -0.08550000000000001
 0.684561 -0.09275
 0.684561 -0.09425
 0.684561 -0.08550000000000001
 0.684561 -0.09275
 0.695729 -0.1155
 0.695729 -0.12075
 0.695729 -0.103
 0.695729 -0.1
 0.695729 -0.10425
 0.695729 -0.10675
 0.695729 -0.094
 0.6796410000000001 -0.11225
 0.6796410000000001 -0.117
 0.6796410000000001 -0.104
 0.6796410000000001 -0.10825
 0.6796410000000001 -0.078
 0.6796410000000001 -0.099
 0.6796410000000001 -0.09675
 0.689383 -0.08799999999999999
 0.689383 -0.08475000000000001
 0.689383 -0.067
 0.689383 -0.075
 0.689383 -0.083
 0.689383 -0.081
 0.689383 -0.0915
 0.700163 -0.10625
 0.700163 -0.0955
 0.700163 -0.089
 0.700163 -0.077
 0.700163 -0.089
 0.700163 -0.077
 0.700163 -0.0915
 0.6795870000000001 -0.08025
 0.6795870000000001 -0.08749999999999999
 0.6795870000000001 -0.089
 0.6795870000000001 -0.081
 0.6795870000000001 -0.1015
 0.6795870000000001 -0.1035
 0.6795870000000001 -0.09075
 0.683713 -0.09075
 0.683713 -0.08624999999999999
 0.683713 -0.08599999999999999
 0.683713 -0.0975
 0.683713 -0.09275
 0.683713 -0.08
 0.683713 -0.09225
 0.680557 -0.0835
 0.680557 -0.079
 0.680557 -0.09675
 0.680557 -0.0895
 0.680557 -0.0835
 0.680557 -0.114
 0.680557 -0.076
 0.690752 -0.08025
 0.690752 -0.08425000000000001
 0.690752 -0.08400000000000001
 0.690752 -0.08624999999999999
 0.690752 -0.0975
 0.690752 -0.09625
 0.690752 -0.083
 0.696584 -0.096
 0.696584 -0.09425
 0.696584 -0.0955
 0.696584 -0.097
 0.696584 -0.064
 0.696584 -0.06675
 0.696584 -0.08674999999999999
 0.692534 -0.0815
 0.692534 -0.078
 0.692534 -0.08799999999999999
 0.692534 -0.0755
 0.692534 -0.07825
 0.692534 -0.08599999999999999
 0.692534 -0.08
 0.680835 -0.09275
 0.680835 -0.10625
 0.680835 -0.08875
 0.680835 -0.097
 0.680835 -0.0955
 0.680835 -0.1
 0.680835 -0.07825
 0.694825 -0.08825
 0.694825 -0.09675
 0.694825 -0.09075
 0.694825 -0.10225
 0.694825 -0.092
 0.694825 -0.11275
 0.694825 -0.074
 0.694244 -0.11425
 0.694244 -0.094
 0.694244 -0.0775
 0.694244 -0.08475000000000001
 0.694244 -0.075
 0.694244 -0.065
 0.6907219999999999 -0.07275
 0.6907219999999999 -0.07275
 0.6907219999999999 -0.04875
 0.6907219999999999 -0.074
 0.6907219999999999 -0.067
 0.6907219999999999 -0.0595
 0.6907219999999999 -0.06625
 0.689951 -0.05675
 0.689951 -0.074
 0.689951 -0.064
 0.689951 -0.063
 0.689951 -0.04675
 0.689951 -0.07475
 0.689951 -0.07425
 0.688811 -0.08475000000000001
 0.688811 -0.10075
 0.688811 -0.09950000000000001
 0.688811 -0.096
 0.688811 -0.08799999999999999
 0.688811 -0.10675
 0.688811 -0.112
 0.680196 -0.10825
 0.680196 -0.1015
 0.680196 -0.092
 0.680196 -0.08025
 0.680196 -0.1055
 0.680196 -0.104
 0.680196 -0.109
 0.679427 -0.0975
 0.679427 -0.10425
 0.679427 -0.09875
 0.679427 -0.107
 0.679427 -0.096
 0.679427 -0.1035
 0.679427 -0.13225
 0.691875 -0.09625
 0.691875 -0.11225
 0.691875 -0.10625
 0.691875 -0.09475
 0.691875 -0.0935
 0.691875 -0.11
 0.691875 -0.101
 0.692639 -0.09475
 0.692639 -0.108
 0.692639 -0.095
 0.692639 -0.089
 0.692639 -0.07425
 0.692639 -0.0835
 0.692639 -0.09075
 0.701247 -0.1095
 0.701247 -0.079
 0.701247 -0.08749999999999999
 0.701247 -0.08599999999999999
 0.701247 -0.06900000000000001
 0.701247 -0.07425
 0.701247 -0.10225
 0.717218 -0.08550000000000001
 0.717218 -0.09075
 0.717218 -0.07275
 0.717218 -0.091
 0.717218 -0.091
 0.717218 -0.101
 0.717218 -0.08500000000000001
 0.685165 -0.089
 0.685165 -0.062
 0.685165 -0.098
 0.685165 -0.053
 0.685165 -0.07675
 0.685165 -0.06900000000000001
 0.685165 -0.06475
 0.670048 -0.04225
 0.670048 -0.04875
 0.670048 -0.0555
 0.670048 -0.07275
 0.670048 -0.0555
 0.670048 -0.02625
 0.670048 -0.026
 0.677829 -0.015
 0.677829 -0.054
 0.677829 -0.0275
 0.677829 -0.05075
 0.677829 -0.024
 0.677829 -0.0215
 0.677829 -0.01825
 0.689241 -0.0255
 0.689241 -0.02425
 0.689241 -0.03275
 0.689241 -0.02425
 0.689241 -0.043
 0.689241 -0.07074999999999999
 0.689241 -0.08400000000000001
 0.634893 -0.1135
 0.634893 -0.11625
 0.634893 -0.14825
 0.634893 -0.175
 0.634893 -0.17225
 0.634893 -0.19075
 0.634893 -0.21825
 0.506856 -0.21225
 0.506856 -0.2475
 0.506856 -0.2375
 0.506856 -0.252
 0.506856 -0.2675
 0.506856 -0.273
 0.506856 -0.257
 0.557268 -0.264
 0.557268 -0.264
 0.557268 -0.272
 0.557268 -0.262
 0.557268 -0.29025
 0.557268 -0.2655
 0.557268 -0.232
 0.734538 -0.24825
 0.734538 -0.2575
 0.734538 -0.2555
 0.734538 -0.2115
 0.734538 -0.2115
 0.734538 -0.214
 0.734538 -0.1555
 0.870872 -0.19025
 0.870872 -0.20675
 0.870872 -0.225
 0.870872 -0.169
 0.870872 -0.13875
 0.870872 -0.142
 0.815096 -0.1695
 0.815096 -0.17475
 0.815096 -0.15675
 0.815096 -0.13475
 0.815096 -0.09825
 0.815096 -0.04675
 0.815096 -0.01675
 0.6858070000000001 0.00125
 0.6858070000000001 0.00125
 0.6858070000000001 0.0485
 0.6858070000000001 0.06725
 0.6858070000000001 0.1105
 0.6858070000000001 0.12575
 0.6858070000000001 0.136
 0.726475 0.1
 0.726475 0.14325
 0.726475 0.16525
 0.726475 0.17925
 0.726475 0.16725
 0.726475 0.1725
 0.726475 0.18775
 0.697426 0.18925
 0.697426 0.17575
 0.697426 0.18925
 0.697426 0.15975
 0.697426 0.18175
 0.697426 0.14175
 0.697426 0.11925
 0.707296 0.10775
 0.707296 0.1025
 0.707296 0.0825
 0.707296 0.065
 0.707296 0.0505
 0.707296 -0.00275
 0.707296 -0.07275
 0.63109 -0.13225
 0.63109 -0.144
 0.63109 -0.11475
 0.63109 -0.09075
 0.63109 -0.08075
 0.63109 -0.08550000000000001
 0.63109 -0.11275
 0.412556 -0.153
 0.412556 -0.14475
 0.412556 -0.1595
 0.412556 -0.1595
 0.412556 -0.1495
 0.412556 -0.19025
 0.412556 -0.1935
 0.708662 -0.20425
 0.708662 -0.21625
 0.708662 -0.24625
 0.708662 -0.246
 0.708662 -0.26025
 0.708662 -0.287
 0.708662 -0.315
 0.589527 -0.31625
 0.589527 -0.35225
 0.589527 -0.34225
 0.589527 -0.367
 0.589527 -0.3655
 0.589527 -0.348
 0.589527 -0.355
 0.633 -0.329
 0.633 -0.327
 0.633 -0.33075
 0.633 -0.31425
 0.633 -0.29425
 0.633 -0.28425
 0.633 -0.29
 0.739695 -0.271
 0.739695 -0.2695
 0.739695 -0.253
 0.739695 -0.26275
 0.739695 -0.242
 0.739695 -0.2055
 0.739695 -0.165
 0.80506 -0.2335
 0.80506 -0.299
 0.80506 -0.2975
 0.80506 -0.1715
 0.80506 -0.12825
 0.80506 -0.18425
 0.80506 -0.19475
 0.663588 -0.151
 0.663588 -0.10425
 0.663588 -0.1055
 0.663588 -0.143
 0.663588 -0.12425
 0.663588 -0.095
 0.663588 -0.0635
 0.736953 -0.0395
 0.736953 -0.038
 0.736953 -0.039
 0.736953 -0.038
 0.736953 -0.0495
 0.736953 -0.05425
 0.736953 -0.027
 0.800203 -0.07025000000000001
 0.800203 -0.10475
 0.800203 -0.12675
 0.800203 -0.11875
 0.800203 -0.132
 0.800203 -0.17475
 0.800203 -0.215
 0.834924 -0.24075
 0.834924 -0.2655
 0.834924 -0.287
 0.834924 -0.28675
 0.834924 -0.329
 0.834924 -0.317
 0.834924 -0.329
 0.711535 -0.349
 0.711535 -0.38675
 0.711535 -0.35875
 0.711535 -0.35425
 0.711535 -0.35275
 0.711535 -0.364
 0.711535 -0.37075
 0.276986 -0.32
 0.276986 -0.27275
 0.276986 -0.2395
 0.276986 -0.18875
 0.276986 -0.22
 0.276986 -0.2435
 -0.05893 -0.2095
 -0.05893 -0.02
 -0.05893 0.07049999999999999
 -0.05893 0.044
 -0.05893 -0.02275
 -0.05893 -0.046
 -0.05893 0.032
 0.66103 0.06725
 0.66103 0.10725
 0.66103 0.09925
 0.66103 0.10375
 0.66103 0.11175
 0.66103 0.15175
 0.66103 0.165
 0.258582 0.18
 0.258582 0.178
 0.258582 0.23325
 0.258582 0.261
 0.258582 0.215
 0.258582 0.20525
 0.258582 0.219
 0.525763 0.298
 0.525763 0.3525
 0.525763 0.271
 0.525763 0.12375
 0.525763 0.064
 0.525763 0.08724999999999999
 0.525763 0.17525
 0.686303 0.22725
 0.686303 0.1445
 0.686303 0.07174999999999999
 0.686303 0.03925
 0.686303 0.016
 0.686303 0.04975
 0.686303 -0.01875
 0.760301 -0.0755
 0.760301 -0.09625
 0.760301 -0.102
 0.760301 -0.103
 0.760301 -0.1395
 0.760301 -0.20475
 0.760301 -0.26025
 0.966566 -0.29875
 0.966566 -0.339
 0.966566 -0.32225
 0.966566 -0.271
 0.966566 -0.313
 0.966566 -0.40225
 0.966566 -0.471
 0.691095 -0.43825
 0.691095 -0.39275
 0.691095 -0.38625
 0.691095 -0.381
 0.691095 -0.3615
 0.691095 -0.3235
 0.691095 -0.3015
 0.763491 -0.27
 0.763491 -0.24475
 0.763491 -0.23225
 0.763491 -0.17875
 0.763491 -0.16475
 0.763491 -0.11075
 0.763491 -0.0975
 0.7366780000000001 -0.08799999999999999
 0.7366780000000001 -0.096
 0.7366780000000001 -0.05875
 0.7366780000000001 -0.027
 0.7366780000000001 0.02175
 0.7366780000000001 0.00125
 0.7366780000000001 0.03525
 0.725406 0.03375
 0.725406 0.0605
 0.725406 0.04575
 0.725406 0.05125
 0.725406 0.07124999999999999
 0.725406 0.08975
 0.725406 0.08375
 0.591757 0.0965
 0.591757 0.08400000000000001
 0.591757 0.09375
 0.591757 0.07199999999999999
 0.591757 0.091
 0.591757 0.0985
 0.591757 0.095
 0.347627 0.07325
 0.347627 0.046
 0.347627 0.015
 0.347627 0.05125
 0.347627 0.03325
 0.347627 0.0385
 0.347627 0.004
 0.453834 0.0045
 0.453834 -0.0395
 0.453834 -0.02
 0.453834 -0.0175
 0.453834 -0.037
 0.453834 -0.07000000000000001
 0.453834 -0.1235
 0.497851 -0.18
 0.497851 -0.195
 0.497851 -0.216
 0.497851 -0.2155
 0.497851 -0.235
 0.497851 -0.21875
 0.497851 -0.252
 0.445766 -0.23425
 0.445766 -0.22225
 0.445766 -0.195
 0.445766 -0.196
 0.445766 -0.2215
 0.445766 -0.188
 0.445766 -0.135
 0.606804 -0.132
 0.606804 -0.168
 0.606804 -0.18225
 0.606804 -0.1195
 0.606804 -0.10025
 0.606804 -0.077
 0.606804 -0.08799999999999999
 0.700585 -0.07074999999999999
 0.700585 -0.059
 0.700585 -0.04075
 0.700585 -0.02275
 0.700585 -0.00275
 0.700585 0.0465
 0.700585 0.06900000000000001
 0.8309029999999999 -0.008
 0.8309029999999999 -0.024
 0.8309029999999999 0.0145
 0.8309029999999999 0.003
 0.8309029999999999 -0.0375
 0.8309029999999999 -0.09425
 0.940564 -0.112
 0.940564 -0.07025000000000001
 0.940564 -0.08875
 0.940564 -0.09475
 0.940564 -0.08550000000000001
 0.940564 -0.08400000000000001
 0.940564 -0.104
 0.633661 -0.10825
 0.633661 -0.078
 0.633661 -0.02825
 0.633661 -0.03825
 0.633661 -0.0215
 0.633661 -0.0355
 0.633661 -0.03625
 0.802733 -0.066
 0.802733 -0.06475
 0.802733 -0.0535
 0.802733 0.011
 0.802733 -0.01475
 0.802733 -0.062
 0.802733 -0.09675
 0.736847 -0.119
 0.736847 -0.11
 0.736847 -0.097
 0.736847 -0.10625
 0.736847 -0.139
 0.736847 -0.17625
 0.736847 -0.17425
 0.761356 -0.17075
 0.761356 -0.19275
 0.761356 -0.19875
 0.761356 -0.22825
 0.761356 -0.242
 0.761356 -0.209
 0.761356 -0.19825
 0.573926 -0.24275
 0.573926 -0.255
 0.573926 -0.238
 0.573926 -0.21425
 0.573926 -0.197
 0.573926 -0.20875
 0.573926 -0.21075
 0.18844 -0.1795
 0.18844 -0.104
 0.18844 -0.07074999999999999
 0.18844 -0.10475
 0.18844 -0.095
 0.18844 -0.04275
 0.18844 0.032
 0.605626 0.06125
 0.605626 0.06125
 0.605626 0.00375
 0.605626 -0.02225
 0.605626 -0.01675
 0.605626 -0.02475
